order_id,order_date,customer_id,customer_name,product_name,category,region,quantity,unit_price,discount,profit
1001,2025-01-05,101,Rahul Sharma,Laptop,Electronics,North,2,65000,0.10,18000
1002,2025-01-08,102,Priya Patel,Smartphone,Electronics,West,3,30000,0.05,15000
1003,2025-01-12,103,Amit Kumar,Headphones,Accessories,South,5,3000,0.08,4500
1004,2025-01-18,104,Sneha Joshi,Monitor,Electronics,East,2,15000,0.10,5000
1005,2025-02-02,105,Rohan Singh,Keyboard,Accessories,North,4,1800,0.05,1800
1006,2025-02-10,106,Anjali Verma,Tablet,Electronics,West,2,25000,0.07,7000
1007,2025-02-15,107,Vikas Patil,Laptop,Electronics,South,1,65000,0.12,9000
1008,2025-02-20,108,Neha Shah,Smartwatch,Wearables,East,3,8000,0.05,4200
1009,2025-03-03,109,Karan Mehta,Mouse,Accessories,North,8,1000,0.03,2800
1010,2025-03-09,110,Pooja Desai,Printer,Office,West,2,12000,0.10,4000
1011,2025-03-15,111,Arjun Rao,Smartphone,Electronics,South,4,30000,0.08,19000
1012,2025-03-22,112,Isha Gupta,Laptop,Electronics,East,2,65000,0.05,19000
1013,2025-04-04,113,Manish Yadav,Webcam,Accessories,North,5,3500,0.06,3000
1014,2025-04-11,114,Simran Kaur,Tablet,Electronics,West,3,25000,0.10,8500
1015,2025-04-19,115,Nikhil Jain,Monitor,Electronics,South,4,15000,0.08,9000
1016,2025-05-02,116,Ayesha Khan,Headphones,Accessories,East,6,3000,0.05,5400
1017,2025-05-10,117,Saurabh Mishra,Laptop,Electronics,North,3,65000,0.07,27000
1018,2025-05-18,118,Meera Iyer,Smartwatch,Wearables,West,4,8000,0.06,5600
1019,2025-06-01,119,Aditya Kulkarni,Smartphone,Electronics,South,2,30000,0.05,10000
1020,2025-06-09,120,Kavya Nair,Printer,Office,East,3,12000,0.08,6000
1021,2025-06-17,101,Rahul Sharma,Monitor,Electronics,North,2,15000,0.05,4500
1022,2025-07-04,102,Priya Patel,Laptop,Electronics,West,1,65000,0.10,8500
1023,2025-07-12,103,Amit Kumar,Mouse,Accessories,South,10,1000,0.05,3500
1024,2025-07-21,104,Sneha Joshi,Tablet,Electronics,East,2,25000,0.07,7000
10025,2025-08-03,105,Rohan Singh,Smartphone,Electronics,North,3,30000,0.06,14000
10026,2025-08-14,106,Anjali Verma,Headphones,Accessories,West,7,3000,0.05,6300
10027,2025-08-22,107,Vikas Patil,Laptop,Electronics,South,2,65000,0.08,18000
10028,2025-09-05,108,Neha Shah,Monitor,Electronics,East,3,15000,0.06,6500
10029,2025-09-16,109,Karan Mehta,Keyboard,Accessories,North,6,1800,0.05,2700
10030,2025-09-25,110,Pooja Desai,Printer,Office,West,4,12000,0.10,8000
10031,2025-10-04,111,Arjun Rao,Smartphone,Electronics,South,5,30000,0.07,24000
10032,2025-10-13,112,Isha Gupta,Laptop,Electronics,East,2,65000,0.05,19000
10033,2025-10-21,113,Manish Yadav,Webcam,Accessories,North,8,3500,0.04,4800
10034,2025-11-02,114,Simran Kaur,Tablet,Electronics,West,3,25000,0.08,8500
10035,2025-11-11,115,Nikhil Jain,Monitor,Electronics,South,2,15000,0.06,4500
10036,2025-11-20,116,Ayesha Khan,Headphones,Accessories,East,10,3000,0.05,9000
10037,2025-12-03,117,Saurabh Mishra,Laptop,Electronics,North,4,65000,0.07,36000
10038,2025-12-12,118,Meera Iyer,Smartwatch,Wearables,West,5,8000,0.05,7000
10039,2025-12-19,119,Aditya Kulkarni,Smartphone,Electronics,South,3,30000,0.06,15000
10040,2025-12-27,120,Kavya Nair,Printer,Office,East,5,12000,0.08,10000
